Date,Station,Transect,Survey_type,Lat,Long,filename
,,NA,Quadrat,NA,NA,OysterData_16Feb2018_Quadrat_final.csv
10/27/2010,,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
12/8/2010,,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
1/30/2018,BTI11,NA,Quadrat,29.26693,83.08455,OysterData_30Jan2018_Quadrat_final.csv
1/30/2018,BTI12,NA,Quadrat,29.26691,83.08456,OysterData_30Jan2018_Quadrat_final.csv
1/30/2018,BTI21,NA,Quadrat,29.26827,83.08306,OysterData_30Jan2018_Quadrat_final.csv
1/30/2018,BTI22,NA,Quadrat,29.26822,83.08311,OysterData_30Jan2018_Quadrat_final.csv
1/30/2018,BTI31,NA,Quadrat,29.2673,83.08237,OysterData_30Jan2018_Quadrat_final.csv
1/30/2018,BTI32,NA,Quadrat,29.26738,83.08236,OysterData_30Jan2018_Quadrat_final.csv
1/30/2018,BTI41,NA,Quadrat,29.26526,83.08311,OysterData_30Jan2018_Quadrat_final.csv
1/30/2018,BTI42,NA,Quadrat,29.26542,83.08289,OysterData_30Jan2018_Quadrat_final.csv
1/30/2018,BTI43,NA,Quadrat,29.26534,83.08294,OysterData_30Jan2018_Quadrat_final.csv
10/17/2012,CKI1,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
10/17/2012,CKI1,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
10/27/2010,CKI1,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
12/8/2010,CKI1,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
5/27/2010,CKI1,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
5/27/2010,CKI1,NA,Transect,3227972,300804,Transect_data_Nov_2012_bp.csv
7/12/2011,CKI1,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
7/9/2010,CKI1,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
7/9/2010,CKI1,NA,Transect,3227972,300804,Transect_data_Nov_2012_bp.csv
8/8/2010,CKI1,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
8/8/2010,CKI1,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
10/16/2012,CKI2,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
10/16/2012,CKI2,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
5/27/2010,CKI2,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
5/27/2010,CKI2,NA,Transect,3227813,300736,Transect_data_Nov_2012_bp.csv
7/9/2010,CKI2,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
7/9/2010,CKI2,NA,Transect,3227813,300736,Transect_data_Nov_2012_bp.csv
8/8/2010,CKI2,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
8/8/2010,CKI2,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
5/27/2010,CKI3,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
5/27/2010,CKI3,NA,Transect,3228267,300734,Transect_data_Nov_2012_bp.csv
7/9/2010,CKI3,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
7/9/2010,CKI3,NA,Transect,3228267,300734,Transect_data_Nov_2012_bp.csv
NA,CKIA,NA,Grub,29.16843,83.04439,Grub_locations.csv
10/16/2012,CKN1,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
10/16/2012,CKN1,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
10/27/2010,CKN1,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
12/8/2010,CKN1,NA,Transect,NA,NA,Transect_data_Nov_2012_bp.csv
5/27/2010,CKN1,NA,Quadrat,NA,NA,Grid_data_Nov_2012_bp.csv
